dataset,method,arm,status,authoritative_surface,train_env,train_vram_note,train_wall_min,eval_wall_min,inference_ms_per_img,transfer_clip_style,delta_idt_transfer,transfer_lpips,transfer_targetwise_artfid,full_clip_style,full_lpips,full_targetwise_artfid,note
distinct5_512,LBM,F_e1,closed,"config=SchrodingerBridge/configs/distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3.json | run=SchrodingerBridge/exp/distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3_b44_remote/full_eval/epoch_0001","remote RTX 3060 formal b44","nvidia-smi about 9.6-9.7 GB; same b44 band as F/H/K",1.2161,0.5920,,0.6643604031,0.0244379414,0.3245282069,126.8257137813,0.6969145075,0.3186446404,122.6325470096,"current compact LPIPS anchor"
distinct5_512,LBM,H_e1,closed_no_indexed_artfid,"config=SchrodingerBridge/configs/distinct5_512_ema_variant_h_hard_explore_queue_e3.json | run=SchrodingerBridge/exp/distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote/full_eval/epoch_0001","remote RTX 3060 formal b44","nvidia-smi about 9.6-9.7 GB; same b44 band as F/H/K",1.2207,1.6267,,0.6652551527,0.0253326910,0.3281051474,,0.6973625582,0.3213328829,,"indexed summary exists; standalone targetwise ArtFID packet not retained in the current local evidence index"
distinct5_512,LBM,H_e2,closed_no_indexed_artfid,"config=SchrodingerBridge/configs/distinct5_512_ema_variant_h_hard_explore_queue_e3.json | run=SchrodingerBridge/exp/distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote/full_eval/epoch_0002","remote RTX 3060 formal b44","nvidia-smi about 9.6-9.7 GB; same b44 band as F/H/K",2.2656,1.5998,,0.6683948844,0.0284724228,0.3561050486,,0.6993825697,0.3484066154,,"balanced style point; targetwise ArtFID still needs an indexed packet"
distinct5_512,LBM,K_e1,closed_reaudited_conflict,"config=SchrodingerBridge/configs/distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3.json | run=SchrodingerBridge/exp/distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote/full_eval/epoch_0001","remote RTX 3060 formal b44","nvidia-smi about 9.6-9.7 GB; same b44 band as F/H/K",1.2077,20.0333,,0.6711669415,0.0312444799,0.3722808782,406.15086907239305,0.7009949656,0.3622938977,360.37285813760724,"2026-06-05 reuse_generated ArtFID closure on the remote owner surface; closed packet now has standalone targetwise ArtFID, but it conflicts with the older 161.96/157.17 row and therefore needs paper-side re-audit"
distinct5_512,LBM,K_longer_e5,closed_negative,"config=SchrodingerBridge/configs/aaai2027/longer_train_k_seed42_b44_e8.json | run=I:\\GitHub\\Latent_Style\\SchrodingerBridge\\exp\\aaai2027_longer_train_k_seed42_b44_e8\\full_eval_artfid\\epoch_0005","remote RTX 3060 formal b44","training csv shows peak allocated 8.87 GB, peak reserved 9.15 GB",5.5450,1.6926,,0.6670102731,0.0270878114,0.3587850992,408.3089330347,0.6968854041,0.3504156267,365.0104045254,"best retained balance point after the full e5-e8 ArtFID closure. Later K-longer epochs recover style toward K_e1 but worsen LPIPS and ArtFID, so the longer-training lane is a closed negative result."
distinct5_512,SaMST,e5,closed,"run=G:\\GitHub\\Latent_Style\\Related_Works\\baseline_pipeline\\results\\samst_distinct5_512_real_b1_e5_20260603\\eval_bundle\\eval_epoch5\\epoch_0005","Windows local packet on Distinct5-512","per-packet VRAM not retained in the current evidence packet",115.9750,0.3703,430.761,0.6989188100,0.0589963484,0.6334999498,465.6860418255,0.7275811868,0.6270693954,432.0511083215,"current closest closed baseline to a practical same-cost waypoint"
distinct5_512,SaMST,e15,closed,"run=G:\\GitHub\\Latent_Style\\Related_Works\\baseline_pipeline\\results\\samst_distinct5_512_real_b2_e15_20260602\\eval_epoch15\\epoch_0015","Windows local packet on Distinct5-512","per-packet VRAM not retained in the current evidence packet",347.2567,2.6207,,0.6957412316,0.0558187700,0.6319495817,444.4870406091,0.7247245136,0.6255497488,395.7117071285,"paper-facing saturated SaMST point"
distinct5_512,SaMAM,step_2250,manuscript_valid,"run=I:\\Github\\Latent_Style\\Related_Works\\baseline_pipeline\\results\\samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag\\eval_curve\\step_002250","remote RTX 3060 WSL b6","history/docs report about 7.5-8.4 GB on the 3060 during the segmented run",458.5503,0.7887,,0.5522515383,-0.0876709234,0.3604523678,148.2058522809,0.5810966821,0.3538204092,146.0709681580,"manuscript-safe SaMAM anchor; still below IDT on transfer CLIP-S"
distinct5_512,SaMAM,step_3000,audit_only_closed,"run=I:\\Github\\Latent_Style\\Related_Works\\baseline_pipeline\\results\\samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag\\eval_curve\\step_003000_artfid_reuse","remote RTX 3060 WSL b6","history/docs report about 7.5-8.4 GB on the 3060 during the segmented run",612.5845,4.8218,,0.6646182162,0.0246957545,0.3270938640,394.7662083479,0.6978010031,0.3220869704,345.6017453148,"closed audit packet, but not manuscript-safe because the active baseline boundary stops at step_2250"
distinct5_512,SaMST-latent,b50_fast,drop,"run=/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samst_latent_distinct5_512_samecost_20260606_041227/eval_bundle_fast/batch050_fast","remote RTX 3060 WSL stable under 11G","health gate about 10.73 GB; quality packet collapsed",1.7763,0.5299,,0.6104393125,-0.0294816875,0.7295783353,,0.6104393125,0.7295783353,,"nearest retained point to about 2 minutes; collapsed zero-direction outputs, not paper-safe"
distinct5_512,SaMST-latent,b300_fast,drop,"run=/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samst_latent_distinct5_512_samecost_20260606_041227/eval_bundle_fast/batch300_fast","remote RTX 3060 WSL stable under 11G","health gate about 10.73 GB; quality packet collapsed",9.3050,0.5067,,0.6104393125,-0.0294816875,0.7295783353,,0.6104393125,0.7295783353,,"nearest retained point to about 10 minutes; operationally identical collapse to b50_fast, not paper-safe"
