case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,SaMAM_2250_style_specificity,SaMAM_2250_structure_preservation,SaMAM_2250_artifact_control,SaMAM_2250_note,AttnSA_e08_style_specificity,AttnSA_e08_structure_preservation,AttnSA_e08_artifact_control,AttnSA_e08_note
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Strong Impressionist brushwork and color palette while preserving source structure with minimal artifacts.,4,4,4,Good style transfer but slightly darker tones and minor structural softening; few artifacts.,3,3,3,Weakest Impressionist feel; noticeable blurring and loss of detail; moderate artifacts.
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,Seedream_repaired750,4,5,3,5,Strong minimalism via flat colors and simplified forms; structure is recognizable but stylized; clean output with no artifacts.,2,5,4,"Preserves original structure well but retains complex textures and colors, failing minimalism; minor smudging artifacts.",3,2,3,Overly blurred and washed out; loses structural clarity and introduces haze artifacts; weak minimalism execution.
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,5,3,3,"Strong Rococo elements: ornate frames, pastel tones, decorative motifs. Structure is somewhat distorted due to heavy stylization; minor artifacts in background details.",3,5,5,Preserves original composition and spatial layout faithfully. Minimal artifacts. Style is subdued — lacks explicit Rococo ornamentation or color palette.,2,4,4,"Faint Rococo hints (soft edges, muted palette) but overly blurred and washed out. Structure mostly intact but lacks clarity; low stylistic specificity."
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,"Preserves source structure well with minimal artifacts, but Ukiyo-e stylization is weak and muted.",5,4,3,Strongest Ukiyo-e style match with bold lines and color blocking; slight structural distortion and minor artifacts.,2,3,2,"Very faint stylization, heavy blurring, and loss of detail; poor artifact control and structure degradation."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,4,Preserves source structure well but lacks strong Early Renaissance stylistic markers; mild color flattening.,5,4,5,Strongest Early Renaissance styling with rich chiaroscuro and drapery; minor softening of facial details.,2,3,2,Overly blurred and hazy; loses structural clarity and stylistic definition; heavy artifacting.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Strong Impressionist brushwork with soft edges and luminous color; preserves original composition and facial structure; minimal artifacts.,4,4,4,Good stylistic match but slightly darker tone reduces Impressionist lightness; structure mostly preserved; minor smudging in background.,3,3,2,Overly blurred and hazy; loses structural detail and introduces significant blur artifacts; weak Impressionist character.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,5,5,5,Perfectly captures minimalism via flat color blocks and simplified forms while preserving original composition and facial structure with zero artifacts.,2,4,4,Retains structure well but fails to apply minimalism; appears as a slightly blurred version of the source with no stylistic reduction.,1,2,2,"Over-blurred, loses structural detail and introduces smudged artifacts; minimalism not achieved — more like a soft-focus filter."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,"Strong Rococo styling with soft pastel tones, ornate framing, and delicate brushwork; preserves source composition and facial structure; minimal artifacts.",3,4,4,Moderate Rococo influence via warm lighting and slight embellishment; retains structure well but lacks ornamental detail; minor smudging in background.,2,3,2,Weak Rococo traits; overly blurred and hazy; structure distorted; significant loss of detail and high artifact presence.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,Preserves structure well but lacks strong Ukiyo-e stylistic markers; clean output with minimal artifacts.,5,4,3,"Strongest Ukiyo-e style adoption (flat color, bold outlines, stylized features); slight loss in structural fidelity and minor smudging.",2,3,2,"Weakest style transfer; blurry, low contrast, and heavy artifacts distort both style and structure."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,5,3,3,Strong Early Renaissance color palette and brushwork; some structural distortion in arches and figures.,3,5,5,"Excellent preservation of original composition and clean output; muted, desaturated style lacks Renaissance vibrancy.",2,4,4,"Faint, washed-out appearance with low contrast; minimal stylistic fidelity to Early Renaissance."
