case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,SaMAM_2250_style_specificity,SaMAM_2250_structure_preservation,SaMAM_2250_artifact_control,SaMAM_2250_note,AttnSA_e24_style_specificity,AttnSA_e24_structure_preservation,AttnSA_e24_artifact_control,AttnSA_e24_note
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,5,5,5,Strong Impressionist brushwork and color palette while preserving source structure cleanly.,4,4,4,Good style transfer with minor over-saturation and slight structural softening.,3,3,3,Weaker Impressionist feel; noticeable blurring and loss of fine structural detail.
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,Seedream_repaired750,4,5,3,5,Strong minimalism via flat color blocks and simplified forms; structure is recognizable but stylized; clean output with no artifacts.,2,5,4,"Preserves source structure well but retains complex textures and colors, failing minimalism; minor smudging artifacts.",3,2,3,Over-blurred and washed out; loses structure and introduces haze artifacts; minimalism is vague rather than intentional.
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Rococo,Early_Renaissance,Rococo,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,3,Strong structural fidelity but weak Rococo styling; ornate frame is stylized but lacks color/texture richness.,5,4,5,"Best Rococo aesthetic: soft pastels, gilded frame, painterly texture; minor loss of fine detail in figures.",2,3,2,Overly blurred and washed-out; loses both structure and stylistic intent; heavy artifacts degrade quality.
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,"Preserves source structure well with minimal artifacts, but Ukiyo-e stylization is weak and muted.",5,4,3,Strongest Ukiyo-e style with bold lines and color blocking; slight structural distortion and minor artifacts present.,2,3,4,"Very faint stylization, almost washed out; structure partially preserved but lacks definition and artistic intent."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,4,Preserves source structure well but lacks strong Early Renaissance stylistic markers; mild smoothing artifacts.,5,4,5,Strongest Early Renaissance style with rich color and chiaroscuro; minor structural softening but no visible artifacts.,2,3,2,Overly blurred and hazy; loses both style detail and structural clarity; significant artifact-like diffusion.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism,Early_Renaissance,Impressionism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,3,5,4,Strong structural fidelity but lacks clear Impressionist brushwork; moderate artifacts.,5,4,5,Best captures Impressionist texture and color blending with minimal artifacts and good structure.,2,3,3,"Overly blurred, loses detail and stylistic nuance; high artifact presence."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Minimalism,Early_Renaissance,Minimalism,SaMAM_2250,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,5,3,4,Strong minimalism via flat colors and simplified forms; structure is recognizable but stylized; minor artifacts in edge blending.,4,5,5,Preserves original composition and detail well; subtle minimalism through muted tones and soft contrast; no visible artifacts.,3,2,3,Overly blurred and washed-out; loses structural clarity and introduces haze artifacts; minimalism feels accidental rather than controlled.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,5,4,3,Strong Rococo styling with soft pastels and ornate framing; slight halo artifact around head.,3,5,5,"Excellent structural fidelity and clean output; minimal style transfer, retains source’s darker tone.",2,3,2,Heavy blur and smudging distort structure; weak Rococo cues; significant artifacts.
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,3,5,5,"Strong structural fidelity and clean output, but Ukiyo-e stylization is minimal — lacks bold outlines and flat color blocking.",5,4,4,"Best captures Ukiyo-e traits: strong contours, simplified shading, and stylized facial features; slight softening in background reduces structure slightly.",2,3,3,Overly blurred and hazy; loses both structural detail and stylistic clarity — appears more like a diffusion artifact than intentional style transfer.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,5,3,3,Strong Early Renaissance color palette and compositional warmth; some structural distortion in arches and figures; mild smudging artifacts.,3,5,5,"Excellent preservation of original structure and clean output; lacks strong Renaissance stylistic traits (color, texture, mood); minimal artifacts.",2,4,2,"Faint, washed-out style with poor color fidelity to Renaissance; structure mostly intact but degraded by heavy noise and blur artifacts."
